11-22 20:57:44: Training starting...
11-22 20:57:44: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-22 20:57:44: New best reward 5.7 (-170.2%) at episode 1, saving model...
11-22 20:57:44: New best reward 6.2 (+9.1%) at episode 9, saving model...
11-22 20:57:44: New best reward 10.5 (+70.7%) at episode 21, saving model...
11-22 20:57:45: New best reward 13.7 (+30.1%) at episode 34, saving model...
11-22 20:57:45: New best reward 22.1 (+61.5%) at episode 36, saving model...
11-22 20:57:45: New best reward 64.6 (+191.9%) at episode 67, saving model...
11-22 20:57:45: New best reward 72.2 (+11.8%) at episode 68, saving model...
11-22 20:57:45: New best reward 151.4 (+109.7%) at episode 70, saving model...
11-22 20:57:46: New best reward 165.0 (+9.0%) at episode 74, saving model...
11-22 20:57:46: New best reward 265.0 (+60.6%) at episode 76, saving model...
11-22 20:57:47: New best reward 856.1 (+223.1%) at episode 77, saving model...
11-22 20:57:49: New best reward 977.4 (+14.2%) at episode 80, saving model...
11-22 20:57:51: New best reward 1680.6 (+71.9%) at episode 81, saving model...
11-22 20:57:55: New best reward 1993.6 (+18.6%) at episode 83, saving model...
11-22 20:58:01: New best reward 4436.6 (+122.5%) at episode 84, saving model...
11-22 20:58:28: New best reward 4592.5 (+3.5%) at episode 94, saving model...
11-22 20:59:07: New best reward 14209.5 (+209.4%) at episode 101, saving model...
11-22 21:00:16: New best reward 21032.4 (+48.0%) at episode 106, saving model...
11-22 21:01:24: New best reward 35849.4 (+70.4%) at episode 109, saving model...
