11-24 19:50:50: Training starting...
11-24 19:50:51: New best reward 11.1 (-100.0%) at episode 0, saving model...
11-24 19:50:51: New best reward 21.4 (+92.2%) at episode 1, saving model...
11-24 19:50:51: New best reward 46.0 (+114.8%) at episode 12, saving model...
11-24 19:50:52: New best reward 84.3 (+83.2%) at episode 63, saving model...
11-24 19:51:01: New best reward 95.4 (+13.1%) at episode 1023, saving model...
11-24 19:51:04: New best reward 119.6 (+25.3%) at episode 1194, saving model...
11-24 19:51:04: New best reward 120.0 (+0.4%) at episode 1198, saving model...
11-24 19:51:04: New best reward 207.7 (+73.1%) at episode 1204, saving model...
11-24 19:51:05: New best reward 693.2 (+233.7%) at episode 1242, saving model...
11-24 19:51:06: New best reward 860.9 (+24.2%) at episode 1248, saving model...
11-24 19:51:12: New best reward 3221.7 (+274.2%) at episode 1431, saving model...
11-24 19:51:15: New best reward 9396.3 (+191.7%) at episode 1433, saving model...
11-24 19:51:36: New best reward 12640.6 (+34.5%) at episode 1669, saving model...
11-24 19:52:18: New best reward 14634.0 (+15.8%) at episode 2924, saving model...
11-24 19:52:24: New best reward 21838.5 (+49.2%) at episode 2925, saving model...
11-24 19:53:00: New best reward 126561.8 (+479.5%) at episode 2926, saving model...
11-24 19:58:24: New best reward 194065.7 (+53.3%) at episode 2952, saving model...
