11-23 17:15:15: Training starting...
11-23 17:15:15: New best reward 7.4 (-100.0%) at episode 0, saving model...
11-23 17:15:15: New best reward 13.1 (+78.1%) at episode 1, saving model...
11-23 17:15:15: New best reward 13.6 (+3.8%) at episode 3, saving model...
11-23 17:15:15: New best reward 13.7 (+0.7%) at episode 4, saving model...
11-23 17:15:15: New best reward 14.8 (+7.9%) at episode 21, saving model...
11-23 17:15:23: New best reward 15.7 (+6.1%) at episode 1949, saving model...
11-23 17:15:23: New best reward 15.9 (+1.4%) at episode 1951, saving model...
11-23 17:15:23: New best reward 16.1 (+1.0%) at episode 1953, saving model...
11-23 17:15:23: New best reward 16.2 (+0.4%) at episode 1958, saving model...
11-23 17:15:23: New best reward 16.6 (+3.0%) at episode 1959, saving model...
11-23 17:15:24: New best reward 16.7 (+0.4%) at episode 2019, saving model...
11-23 17:15:24: New best reward 16.8 (+0.5%) at episode 2022, saving model...
11-23 17:15:24: New best reward 17.1 (+2.0%) at episode 2023, saving model...
11-23 17:15:24: New best reward 17.2 (+0.6%) at episode 2025, saving model...
11-23 17:15:24: New best reward 17.5 (+1.6%) at episode 2038, saving model...
11-23 17:15:24: New best reward 17.6 (+0.5%) at episode 2078, saving model...
11-23 17:15:24: New best reward 17.6 (+0.0%) at episode 2095, saving model...
11-23 17:15:24: New best reward 17.6 (+0.1%) at episode 2112, saving model...
11-23 17:15:24: New best reward 18.2 (+3.1%) at episode 2115, saving model...
11-23 17:15:24: New best reward 18.5 (+2.0%) at episode 2117, saving model...
11-23 17:15:24: New best reward 18.7 (+1.1%) at episode 2119, saving model...
11-23 17:15:25: New best reward 19.3 (+3.1%) at episode 2121, saving model...
11-23 17:15:25: New best reward 19.4 (+0.3%) at episode 2127, saving model...
11-23 17:15:25: New best reward 19.8 (+2.4%) at episode 2206, saving model...
11-23 17:15:25: New best reward 19.9 (+0.2%) at episode 2223, saving model...
11-23 17:15:33: New best reward 27.3 (+37.7%) at episode 2937, saving model...
11-23 17:15:33: New best reward 27.5 (+0.5%) at episode 2941, saving model...
11-23 17:15:33: New best reward 27.5 (+0.2%) at episode 2945, saving model...
11-23 17:15:33: New best reward 27.6 (+0.1%) at episode 2958, saving model...
11-23 17:15:51: New best reward 27.6 (+0.2%) at episode 4893, saving model...
11-23 17:16:03: New best reward 27.7 (+0.3%) at episode 6241, saving model...
11-23 17:16:07: New best reward 28.6 (+3.3%) at episode 6607, saving model...
11-23 17:16:07: New best reward 28.9 (+0.9%) at episode 6611, saving model...
11-23 17:16:07: New best reward 28.9 (+0.2%) at episode 6613, saving model...
11-23 17:17:10: New best reward 49.3 (+70.4%) at episode 12847, saving model...
